IP,CODE,NAME,REGION,CITY,LAT,LON,KNOWN
85.209.0.102,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
85.209.0.103,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
87.251.74.35,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
87.251.74.56,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
88.132.109.164,HU,'Hungary','Borsod-Abauj-Zemplen','Miskolc',48.100000,20.783330,YES
88.132.66.26,HU,'Hungary','Borsod-Abauj-Zemplen','Miskolc',48.100000,20.783330,YES
88.26.226.48,ES,'Spain','Catalunya','Barcelona',41.388790,2.158990,YES
88.88.40.133,NO,'Norway','Hordaland','Bergen',60.392990,5.324150,YES
91.218.67.58,DE,'Germany','Hessen','Offenbach',50.100600,8.766470,YES
91.231.113.113,RU,'Russian Federation','Moskva','Moscow',55.752220,37.615560,YES
93.115.1.195,RO,'Romania','Ilfov','Buftea',44.561390,25.948890,YES
94.177.163.196,IT,'Italy','Toscana','Arezzo',43.461390,11.876910,YES
94.191.42.78,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
95.111.246.236,DE,'Germany','Bayern','Munich',48.137430,11.575490,YES
